Open,High,Low,Close,Volume
1449.0,1449.0,1350.0,1449.0,231567321.0
1381.0,1381.0,1281.0,1281.0,286260911.0
1360.0,1360.0,1320.0,1360.0,245356960.0
1339.0,1339.0,1316.0,1316.0,181750977.0
1334.0,1334.0,1310.0,1334.0,137623421.0
1324.0,1324.0,1300.0,1300.0,135377970.0
1332.0,1332.0,1303.0,1332.0,155639619.0
1347.0,1347.0,1293.0,1293.0,245776041.0
1318.0,1318.0,1280.0,1318.0,139743752.0
1305.0,1305.0,1238.0,1238.0,240742418.0
1240.0,1240.0,1230.0,1240.0,119822089.0
1243.0,1243.0,1227.0,1227.0,63360330.0
1255.0,1255.0,1221.0,1255.0,70500989.0
1257.0,1257.0,1230.0,1230.0,66150663.0
1245.0,1245.0,1229.0,1245.0,68151765.0
1295.0,1295.0,1238.0,1238.0,117311727.0
1274.0,1274.0,1250.0,1274.0,139029645.0
1279.0,1279.0,1215.0,1215.0,112446031.0
1224.0,1224.0,1200.0,1224.0,116825960.0
1225.0,1225.0,1145.0,1145.0,138953085.0
1226.0,1226.0,1190.0,1226.0,197101378.0
1250.0,1250.0,1205.0,1205.0,206687037.0
1338.0,1338.0,1252.0,1338.0,87492191.0
1300.0,1300.0,1264.0,1264.0,103952129.0
1305.0,1305.0,1271.0,1305.0,86069365.0
1314.0,1314.0,1260.0,1260.0,201718889.0
1270.0,1270.0,1226.0,1270.0,190673338.0
1323.0,1323.0,1250.0,1250.0,170509306.0
1315.0,1315.0,1259.0,1315.0,133958190.0
1325.0,1325.0,1287.0,1287.0,229458666.0
1377.0,1377.0,1314.0,1377.0,216053061.0
1375.0,1375.0,1330.0,1330.0,193023822.0
1344.0,1344.0,1286.0,1344.0,373558967.0
1360.0,1360.0,1319.0,1319.0,242645153.0
1435.0,1435.0,1335.0,1435.0,253188354.0
1405.0,1405.0,1358.0,1358.0,260218114.0
1433.0,1433.0,1350.0,1433.0,411625285.0
1386.0,1386.0,1324.0,1324.0,544456014.0
1328.0,1328.0,1230.0,1328.0,680516471.0
1242.0,1242.0,1200.0,1200.0,205591981.0
1250.0,1250.0,1170.0,1250.0,384054454.0
1189.0,1189.0,1152.0,1152.0,152696882.0
1197.0,1197.0,1107.0,1197.0,212784832.0
1180.0,1180.0,1115.0,1115.0,334434597.0
1125.0,1125.0,1111.0,1125.0,136104553.0
1150.0,1150.0,1111.0,1111.0,91872735.0
